OBJECTID_1,YearAnnexed_num,majorTreeType,inGreenwayBuffer
278,1982,Pear,0
279,1982,Pear,0
280,1982,Ash,0
281,1982,Pine,0
282,1982,Pine,0
283,1982,Pine,0
284,1982,Ash,0
285,1982,Spruce,0
286,1982,Pine,0
287,1982,Pine,0
288,1982,Pine,0
289,1982,Pine,0
290,1982,Pine,0
291,1982,Pine,0
292,1982,Maple,0
293,1982,Apple,0
294,1982,Apple,0
295,1982,Oak,0
296,1982,Apple,0
297,1982,Pine,0
298,1982,Pine,0
299,1982,Locust,0
300,1982,Pine,0
301,1982,Pine,0
302,1982,Pine,0
303,1982,Locust,0
304,1982,Locust,0
305,1982,Pine,0
306,1982,Apple,0
307,1982,Apple,0
308,1982,Locust,1
309,1982,Apple,1
310,1982,Locust,1
311,1982,Linden,1
312,1982,Apple,1
313,1982,Apple,1
314,1982,Linden,1
315,1982,Spruce,1
316,1982,Hackberry,1
317,1982,,0
318,1982,Locust,0
319,1982,Locust,0
320,1982,Locust,0
321,1982,Locust,0
322,1982,,0
323,1982,Locust,0
324,1982,Locust,0
325,1982,Oak,0
326,1982,Locust,0
327,1982,Locust,0
328,1982,Locust,0
329,1982,Locust,0
330,1982,Locust,0
331,1994,Hawthorn,1
332,1994,Hawthorn,1
333,1994,Locust,1
334,1994,Oak,1
335,1977,Ash,1
336,1977,Coffee tree,1
337,1977,Plum,1
338,1977,Locust,1
339,1977,Ash,1
340,1977,Pine,1
341,1977,Apple,1
342,1977,Hackberry,1
343,1977,Spruce,1
344,1977,Linden,1
345,1977,Hawthorn,1
346,1977,Apple,1
347,1977,Spruce,1
348,1977,Locust,1
349,1977,Hawthorn,1
350,1977,Maple,1
351,1977,Ash,1
352,1977,Locust,1
353,1977,Plum,1
354,1977,Juniper,1
355,1977,Plum,1
356,1977,Pine,1
357,1977,Pine,1
358,1977,Hackberry,1
359,1977,Hawthorn,1
360,1977,Hawthorn,1
361,1977,Pine,1
362,1977,Hawthorn,1
363,1977,Juniper,1
364,1977,Oak,1
365,1977,Juniper,1
366,1977,Cottonwood,1
367,1977,Cottonwood,1
368,1977,Pine,1
369,1977,Locust,1
370,1977,Locust,1
371,1977,Hackberry,1
372,1977,Ash,1
373,1977,Spruce,1
374,1977,Spruce,1
375,1977,,1
376,1977,Locust,1
377,1977,Spruce,1
378,1977,Ash,1
379,1977,Ash,1
380,1977,Spruce,1
381,1994,Apple,1
382,1994,Ash,0
383,1994,Ash,0
384,1994,Locust,0
385,1994,Locust,1
386,1994,Ash,1
387,1994,Ash,1
388,1994,Maple,1
389,1994,Spruce,1
390,1994,Spruce,1
391,1994,Spruce,1
392,1994,Juniper,1
393,1994,Juniper,1
394,1994,Juniper,1
395,1994,Locust,1
396,1994,Hackberry,1
397,1994,Spruce,1
398,1994,Spruce,1
399,1994,Linden,1
400,1994,Linden,1
401,1994,Juniper,1
402,1994,Juniper,1
403,1994,Spruce,1
404,1994,Spruce,1
405,1994,Ash,1
406,1994,Ash,1
407,1994,Locust,1
408,1994,Locust,1
409,1994,Locust,1
410,1994,Locust,1
411,1994,Linden,1
412,1994,Linden,1
413,1994,Maple,1
414,1994,Maple,1
415,1994,Fir,1
416,1994,Oak,1
417,1994,Pine,0
418,1994,Pine,1
419,1994,Pine,1
420,1994,Coffee tree,0
421,1994,Pine,0
422,1994,Pine,0
423,1994,Pine,0
424,1994,Juniper,0
425,1994,Juniper,1
426,1994,Juniper,1
427,1994,Pine,1
428,1994,Fir,1
429,1994,Pine,1
430,1994,Pine,1
431,1994,Pine,1
432,1994,Pine,1
433,1994,Pine,1
434,1994,Spruce,1
435,1994,Spruce,1
436,1994,Spruce,1
437,1994,Hackberry,1
438,1994,Hackberry,1
439,1994,Hackberry,1
440,1994,Maple,1
441,1994,Oak,1
442,1994,Coffee tree,1
443,1994,Locust,1
444,1994,Locust,1
445,1994,Hackberry,1
446,1994,Hackberry,1
447,1994,Locust,1
448,1994,Linden,1
449,1994,Maple,1
450,1994,Locust,1
451,1994,Linden,1
452,1994,Spruce,1
453,1994,Maple,1
454,1994,Plum,1
455,1994,Fir,1
456,1994,Willow,1
457,1994,Maple,1
458,1994,Ash,1
459,1994,Ash,1
460,1994,Linden,1
461,1994,Maple,1
462,1872,Linden,0
463,1872,Ash,0
464,1872,Maple,0
465,1872,Linden,0
466,1872,Maple,0
467,1872,Ash,0
468,1872,,0
469,1872,Hawthorn,0
470,1872,Ash,0
471,1872,Maple,0
472,1872,Japanese lilac,0
473,1872,Cherry,0
474,1872,Hawthorn,0
475,1872,Maple,0
476,1872,Apple,0
477,1872,,0
478,1872,Alder,0
479,1872,Apple,0
480,1872,Apple,0
481,1872,Maple,0
482,1872,Linden,0
483,1872,Maple,0
484,1872,Ash,0
485,1872,Linden,0
486,1872,Ash,0
487,1872,Linden,0
488,1872,Locust,0
489,1872,Oak,0
490,1872,Linden,0
491,1872,Elm,0
492,1872,Hackberry,0
493,1872,Maple,0
494,1872,Apple,0
495,1872,Locust,0
496,1872,Pear,0
497,1872,Filbert,0
498,1872,Linden,0
499,1872,Ash,0
500,1872,Locust,0
501,1872,Linden,0
502,1872,Locust,0
503,1872,Sycamore,0
504,1872,Pine,0
505,1872,Birch,0
506,1872,Hawthorn,0
507,1872,Hawthorn,0
508,1872,Ash,0
509,1872,Ash,0
510,1872,Ash,0
511,1872,Ash,0
512,1872,Ash,0
513,1872,,0
514,1872,Fir,0
515,1872,Apple,0
516,1872,Willow,0
517,1872,Maple,0
518,1872,Ash,0
519,1872,Ash,0
520,1872,Ash,0
521,1872,Hawthorn,0
522,1872,Ash,0
523,1872,Ash,0
524,1872,Ash,0
525,1872,Ash,0
526,1872,Oak,0
527,1872,Oak,0
528,1872,Oak,0
529,1872,Oak,0
530,1872,Ash,0
531,1872,Elm,0
532,1872,Ash,0
533,1872,Ash,0
534,1980,Ash,0
535,1980,Ash,0
536,1980,Ash,0
537,1980,Pine,0
538,1980,Pine,0
539,1980,Hackberry,0
540,1980,Pine,0
541,1980,Spruce,0
542,1980,Spruce,0
543,1980,Maple,0
544,1980,Apple,0
545,1980,Maple,0
546,1980,Apple,0
547,1980,Maple,0
548,1980,Maple,0
549,1980,Spruce,0
550,1980,Oak,0
551,1980,Spruce,0
552,1980,Spruce,0
553,1980,Oak,0
554,1980,Ash,0
555,1980,Maple,0
556,1980,Linden,0
557,1980,Linden,0
558,1980,Linden,0
559,1980,Linden,0
560,1980,Hawthorn,0
561,1980,Hawthorn,0
562,1980,Hawthorn,0
563,1980,Pear,0
564,1980,Oak,0
565,1980,Hawthorn,0
566,1980,Oak,0
567,1980,Linden,0
568,1980,Linden,0
569,1980,Spruce,0
570,1980,Linden,0
571,1980,Pine,0
572,1980,Pine,0
573,1980,Pine,0
574,1980,Apple,0
575,1980,Apple,0
576,1980,Apple,0
577,1872,Fir,0
578,1872,Oak,0
579,1872,Hackberry,0
580,1872,Pine,0
581,1872,Fir,0
582,1872,Fir,0
583,1872,Pine,0
584,1872,Pine,0
585,1872,Pine,0
586,1872,Ash,0
587,1872,Pine,0
588,1872,Catalpa,0
589,1872,Oak,0
590,1872,Linden,0
591,1872,Ash,0
592,1872,Ash,0
593,1872,Ash,0
594,1872,Ash,0
595,1872,Linden,0
596,1872,Ash,0
597,1872,Spruce,0
598,1872,Maple,0
599,1872,Elm,0
600,1872,Ash,0
601,1872,Ash,0
602,1872,Ash,0
603,1872,Pine,0
604,1872,Ash,0
605,1872,Ash,0
606,1872,Fir,0
607,1872,Ash,0
608,1872,Oak,0
609,1872,Hawthorn,0
610,1872,Ash,0
611,1872,Ash,0
612,1872,Oak,0
613,1872,Maple,0
614,1872,Juniper,0
615,1872,Juniper,0
616,1872,Ash,0
617,1872,Maple,0
618,1872,Hawthorn,0
619,1872,Hawthorn,0
620,1872,Apple,0
621,1872,Aspen,0
622,1872,Pine,0
623,1872,Hawthorn,0
624,1872,Maple,0
625,1872,Coffee tree,0
626,1872,Fir,0
627,1872,Ash,0
628,1872,Oak,0
629,1872,Pine,0
630,1872,Maple,0
631,1872,Oak,0
632,1872,Linden,0
633,1872,Pine,0
634,1872,Fir,0
635,1872,Ash,0
636,1982,Ash,1
637,1982,Ash,1
638,1982,Locust,1
639,1982,Locust,1
640,1982,Locust,1
641,1982,Maple,1
642,1982,Maple,1
643,1982,Maple,1
644,1982,Maple,1
645,1982,Pine,1
646,1982,Pine,1
647,1982,Ash,1
648,1982,Spruce,1
649,1982,Spruce,1
650,1982,Pine,1
651,1982,Pine,1
652,1982,Pine,1
653,1982,Hawthorn,1
654,1982,Hawthorn,1
655,1982,Hawthorn,1
656,1982,Pine,1
657,1982,Locust,1
658,1982,Locust,1
659,1982,Pine,1
660,1982,Hawthorn,1
661,1982,Hawthorn,1
662,1982,Hawthorn,1
663,1982,Ash,1
664,1982,Willow,1
665,1982,Willow,1
666,1982,Willow,1
667,1982,Cottonwood,1
668,1982,Cottonwood,1
669,1982,Willow,1
670,1982,Oak,1
671,1982,Willow,1
672,1982,Willow,1
673,1982,Cottonwood,1
674,1982,Cottonwood,1
675,1982,Pine,1
676,1982,Pine,1
677,1982,Pine,1
678,1982,Ash,1
679,1982,Ash,1
680,1982,Ash,1
681,1982,Willow,1
682,1982,Willow,1
683,1982,Willow,1
684,1982,Willow,1
685,1982,Alder,1
686,1982,Ash,1
687,1982,Cottonwood,1
688,1982,Willow,1
689,1982,Ash,1
690,1982,Ash,1
691,1982,Ash,1
692,1982,Ash,1
693,1982,Birch,1
694,1982,Oak,1
695,,Cottonwood,1
696,1982,Ash,1
697,1982,Ash,1
698,,Cottonwood,1
699,1982,Ash,1
700,1982,Cottonwood,1
701,1982,Cottonwood,1
702,1982,Oak,1
703,1982,Ash,1
704,1982,Ash,1
705,1982,Oak,1
706,1982,Oak,1
707,1982,Oak,1
708,1982,Hawthorn,1
709,1982,Hawthorn,1
710,1982,Hawthorn,1
711,1982,Ash,1
712,1982,Ash,1
713,1872,Maple,0
714,1872,Ash,0
715,1872,Ash,0
716,1872,Oak,0
717,1872,Ash,0
718,1872,,0
719,1872,Hawthorn,0
720,1872,Hawthorn,0
721,1872,Hawthorn,0
722,1872,Bald cypress,0
723,1903,Oak,0
724,1903,Ash,0
725,1903,Elm,0
726,1903,Oak,0
727,1903,Apple,0
728,1903,Locust,0
729,1903,Elm,0
730,1903,Ash,0
731,1999,Hawthorn,0
732,1999,Hawthorn,0
733,1999,Hawthorn,0
734,1999,Hawthorn,0
735,1999,Hawthorn,0
736,1999,Hawthorn,0
737,1999,Oak,0
738,1999,Oak,0
739,1999,Oak,0
740,1999,Locust,0
741,1999,Locust,0
742,1999,Locust,0
743,1999,Pine,0
744,1999,Maple,0
745,1999,Cherry,0
746,1999,Spruce,0
747,1999,Spruce,0
748,1999,Spruce,0
749,1999,Spruce,0
750,1999,Pine,0
751,1999,Pine,0
